credits,term,type,code,name,core,or,exclude,group
30,Autumn+Spring,Practice,MA1805,"Coding for the arts",core,,,
30,Autumn+Spring,Practice,MA1800,Introduction to digital media practice,core,,,
30,Autumn+Spring,Practice,MA1801,Introduction to digital media theory,core,,,
30,Autumn+Spring,Practice,MA1051/1151,TV and Digital Histories,core,,,
